parliament_year,chair_id,start,end,person_id
1973,8135091aa45543dd86b0de639ef4ee09,1973-10-16,1973-12-15,i-Aa8kdvoMdZzFJ7wbmcm1Sh
1973,6a705d8ef64a4d1db902ea852bf61da6,1973-01-10,1973-06-06,i-Af27F1xYCu7PKfDmUgU7Xb
1973,6a705d8ef64a4d1db902ea852bf61da6,1973-10-16,1973-12-15,i-Af27F1xYCu7PKfDmUgU7Xb
1973,3243d9290f5f46a28967dca928688b71,1973-01-10,1973-06-06,i-AnrRW8P2FoZPwmfbQGBp8u
1973,3243d9290f5f46a28967dca928688b71,1973-10-16,1973-12-15,i-AnrRW8P2FoZPwmfbQGBp8u
1973,7c59587ad27f436785c71b3bc250fee0,1973-01-10,1973-06-06,i-Apri7FgXXxnC71KLoUptE9
1973,7c59587ad27f436785c71b3bc250fee0,1973-10-16,1973-12-15,i-Apri7FgXXxnC71KLoUptE9
1973,83496f50ea98477dadcc178583c51662,1973-01-10,1973-06-06,i-Asq7NRpmkGRyqdnCrfGpjH
1973,83496f50ea98477dadcc178583c51662,1973-10-16,1973-12-15,i-Asq7NRpmkGRyqdnCrfGpjH
1973,47c3af11ad7d4d34a51f597f0ae2ee8d,1973-01-10,1973-06-06,i-B1QAmZ6hd8iYYbZ4y9ee12
1973,47c3af11ad7d4d34a51f597f0ae2ee8d,1973-10-16,1973-12-15,i-B1QAmZ6hd8iYYbZ4y9ee12
1973,792cbef12c734d4385e0a334099690f8,1973-01-10,1973-06-06,i-B7hrTkCutn2YGLqw9zbUd2
1973,792cbef12c734d4385e0a334099690f8,1973-10-16,1973-12-15,i-B7hrTkCutn2YGLqw9zbUd2
1973,59c98c02a25047278d93f367e172b314,1973-01-10,1973-06-06,i-BAQZQCwvaeCDiXjeD54AnV
1973,59c98c02a25047278d93f367e172b314,1973-10-16,1973-12-15,i-BAQZQCwvaeCDiXjeD54AnV
1973,ca3269272a414cffb520adcbc53bd58d,1973-01-10,1973-06-06,i-BHdk6r4gSueHaCjF4xQ9BW
1973,ca3269272a414cffb520adcbc53bd58d,1973-10-16,1973-12-15,i-BHdk6r4gSueHaCjF4xQ9BW
1973,6a56bf058ea04209935884bca3caa1c8,1973-01-10,1973-06-06,i-BPs8bXZi1zN1z1pikPgMYP
1973,6a56bf058ea04209935884bca3caa1c8,1973-10-16,1973-12-15,i-BPs8bXZi1zN1z1pikPgMYP
1973,0cd9cde97c6d460080bae94e758dfc19,1973-01-10,1973-06-06,i-BRbSgB6kTjTGkYknyWRHHb
1973,0cd9cde97c6d460080bae94e758dfc19,1973-10-16,1973-12-15,i-BRbSgB6kTjTGkYknyWRHHb
1973,bd3e6b46634342fba6123523c72f245a,1973-01-10,1973-06-06,i-BSEtbZG4ePv3rfebXQWRkd
1973,bd3e6b46634342fba6123523c72f245a,1973-10-16,1973-12-15,i-BSEtbZG4ePv3rfebXQWRkd
1973,61444a68ff71404d8483bae5cdda3ac2,1973-01-10,1973-06-06,i-BTQHo9TKPt4psovBo1HK4X
1973,61444a68ff71404d8483bae5cdda3ac2,1973-10-16,1973-12-15,i-BTQHo9TKPt4psovBo1HK4X
1973,d525cf98050b41bcad247a43873b85aa,1973-01-10,1973-06-06,i-BZDMLaDZjTMLecbbyhYS3t
